{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.4369, 0.5777, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.716, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.8106, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.8106, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.8106, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.9053, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.9053, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.6213, 0.9053, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.8542, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.8542, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.8542, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.9028, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.9028, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.9028, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.9514, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.9514, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.2525, 0.8056, 0.9514, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.7141, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.7141, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.7141, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.8094, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.8094, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.8094, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.9047, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.9047, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.6188, 0.9047, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.8069, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.8069, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.8069, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.8713, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.8713, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.8713, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.9356, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.9356, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.7425, 0.9356, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.8996, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.8996, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.8996, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.9331, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.9331, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.9331, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.9666, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.9666, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.495, 0.8662, 0.9666, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.8504, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.8504, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.8504, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.9003, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.9003, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.9003, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.9502, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.9502, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8006, 0.9502, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.8979, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.8979, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.8979, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.9319, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.9319, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.9319, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.9659, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.9659, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.8638, 0.9659, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9452, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9452, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9452, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9634, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9634, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9634, 0.37]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9817, 0.13]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9817, 0.25]
{MixedOppNewSeven, w:0, 2:0, 3:0, T:0}{MixedOppNewSix, w:0, 2:0, 3:0, T:0}{Fold, w:0, 2:0, 3:0, T:0}, [0.7375, 0.9269, 0.9817, 0.37]
